Time,Temperature,Pressure1,Sound,Light,Pressure2,Humidity,Comment
, C, kPa, dBA, lx, kPa, %RH,
3.48,18.4,97.6,40,78,97.94,49,
3.5,18.4,97.8,68.5,79,97.96,49,
3.52,18.4,97.6,40,79,97.94,49,
3.54,18.4,97.8,64.8,78,97.94,49,
3.56,18.4,97.6,71.8,79,97.93,49,
3.58,18.4,97.6,81,79,97.95,49,
4,18.4,97.8,75.2,79,97.92,49,
4.02,18.4,97.6,40,79,97.93,49,
4.04,18.3,97.6,59.9,79,97.95,49,
4.06,18.3,97.6,65.3,79,97.95,49,
4.08,18.3,97.6,73.8,79,97.92,49,
4.1,18.3,97.6,40,79,97.94,48.9,
4.12,18.3,97.6,66.4,78,97.93,49,
4.13,18.3,97.6,40,78,97.92,49,
4.15,18.3,97.6,58.1,79,97.93,49,
4.17,18.3,97.6,63.6,79,97.95,48.9,
4.19,18.3,97.6,40,79,97.95,48.9,
4.21,18.3,97.6,75,78,97.92,48.9,
4.23,18.3,97.6,80.4,76,97.93,48.9,
4.25,18.3,97.6,40,79,97.97,48.9,
4.27,19.1,97.4,40,79,97.92,48.9,
4.29,21.2,97.4,71.8,79,97.93,48.9,
4.31,23,97.4,40,79,97.92,48.9,
4.33,24.4,97.4,40,79,97.94,48.9,
4.35,25.6,97.4,40,72,97.95,48.9,
4.36,26.5,97.4,42.9,40,97.94,48.9,
4.38,27.2,97.4,63.6,74,97.93,48.9,
4.4,27.8,97.4,49.1,68,97.96,48.9,
4.42,28.3,98,50,68,97.97,48.9,
4.44,28.7,97.4,69.9,68,97.92,48.9,
4.46,29,97.4,53,68,97.95,48.9,
4.48,29.3,97.4,45.1,68,97.94,48.9,
4.5,29.6,97.4,76.8,62,97.95,48.9,
4.52,29.8,97.4,66,35,97.94,48.8,
4.54,30,97.4,64.9,56,97.95,48.8,
4.56,30.2,97.4,76.4,62,97.95,48.8,
4.58,30.3,98.8,40,59,97.95,48.8,
0.208333333,30.4,97.6,65.5,58,97.94,48.8,
5.01,30.5,97.4,77.6,60,97.94,48.8,
5.03,30.6,97.4,40,62,97.92,48.8,
5.05,30.8,97.4,65.9,60,97.92,48.8,
5.07,31,97.4,65.6,61,97.98,48.8,
5.09,31.1,97.4,75.1,68,97.91,48.8,
5.11,31.1,97.4,70,59,97.96,48.8,
5.13,31.1,97.4,59.2,59,97.93,48.8,
5.15,31.1,97.4,61.3,59,97.96,48.8,
5.17,31.1,97.2,63.6,61,97.94,48.8,
5.19,31.2,97.4,71.1,60,97.96,48.8,
5.21,31.2,97.4,59.9,66,97.97,48.8,
5.23,31.2,97.6,67,68,97.94,48.8,
5.24,31.2,97.6,76,68,97.96,48.8,
5.26,31.2,97.4,63.2,66,97.95,48.8,
5.28,31.2,97.4,50.8,65,97.96,48.8,
5.3,31.2,97.4,42.9,67,97.95,48.8,
5.32,31.1,97.4,40,67,97.95,48.8,
5.34,31.1,97.6,55.6,67,97.98,48.8,
5.36,30.9,98.4,49.6,67,97.94,48.8,
5.38,30.9,98.6,62,68,97.96,48.8,
5.4,30.8,98.4,73.2,66,97.97,48.8,
5.42,30.8,98.6,74.2,63,97.96,48.8,
5.44,30.8,98.6,65.5,66,97.96,48.8,
5.46,30.9,98.8,61.3,68,97.93,48.8,
5.48,30.8,98.8,61.2,69,97.93,48.8,
5.49,30.8,99,43.8,68,97.97,48.8,
5.51,30.9,99,40,68,97.94,48.8,
5.53,30.9,99,56.1,68,97.97,48.8,
5.55,30.8,99,51.4,68,97.95,48.8,
5.57,30.8,99,75.6,59,97.93,48.8,
